,Deutsch,Wissenschaftlich
282,Langschnabelalk,Brachyramphus+perdix
283,Silberalk,Synthliboramphus+antiquus
284,Papageitaucher,Fratercula+arctica
285,Rotschnabel-Tropikvogel,Phaethon+aethereus
286,Sterntaucher,Gavia+stellata
287,Prachttaucher,Gavia+arctica
288,Pazifiktaucher,Gavia+pacifica
289,Eistaucher,Gavia+immer
290,Gelbschnabeltaucher,Gavia+adamsii
291,Buntfuß-Sturmschwalbe,Oceanites+oceanicus
292,Weißgesicht-Sturmschwalbe,Pelagodroma+marina
293,Schwarzbrauenalbatros,Thalassarche+melanophris
294,Atlantik-Gelbnasenalbatros,Thalassarche+chlororhynchos
295,Sturmschwalbe,Hydrobates+pelagicus
296,Madeirawellenläufer,Oceanodroma+castro
297,Swinhoewellenläufer,Oceanodroma+monorhis
298,Wellenläufer,Oceanodroma+leucorhoa
299,Eissturmvogel,Fulmarus+glacialis
300,Kapverdensturmvogel,Pterodroma+feae
301,Corysturmtaucher,Calonectris+borealis
302,Dunkelsturmtaucher,Ardenna+grisea
303,Kappensturmtaucher,Ardenna+gravis
304,Atlantiksturmtaucher,Puffinus+puffinus
305,Mittelmeer-Sturmtaucher,Puffinus+yelkouan
306,Balearensturmtaucher,Puffinus+mauretanicus
307,Barolosturmtaucher,Puffinus+baroli
308,Bulwersturmvogel,Bulweria+bulwerii
309,Nimmersatt,Mycteria+ibis
310,Schwarzstorch,Ciconia+nigra
311,Weißstorch,Ciconia+ciconia
312,Adlerfregattvogel,Fregata+aquila
313,Prachtfregattvogel,Fregata+magnificens
314,Basstölpel,Morus+bassanus
315,Zwergscharbe,Microcarbo+pygmaeus
316,Ohrenscharbe,Phalacrocorax+auritus
317,Krähenscharbe,Phalacrocorax+aristotelis
318,Kormoran,Phalacrocorax+carbo
319,Waldrapp,Geronticus+eremita
320,Sichler,Plegadis+falcinellus
321,Löffler,Platalea+leucorodia
322,Rohrdommel,Botaurus+stellaris
323,Nordamerikanische Rohrdommel,Botaurus+lentiginosus
324,Zwergdommel,Ixobrychus+minutus
325,Nachtreiher,Nycticorax+nycticorax
326,Grünreiher,Butorides+virescens
327,Rallenreiher,Ardeola+ralloides
328,Kuhreiher,Bubulcus+ibis
329,Graureiher,Ardea+cinerea
330,Purpurreiher,Ardea+purpurea
331,Silberreiher,Ardea+alba
332,Blaureiher,Egretta+caerulea
333,Schmuckreiher,Egretta+thula
334,Seidenreiher,Egretta+garzetta
335,Küstenreiher,Egretta+gularis
336,Rosapelikan,Pelecanus+onocrotalus
337,Rötelpelikan,Pelecanus+rufescens
338,Krauskopfpelikan,Pelecanus+crispus
339,Rabengeier,Coragyps+atratus
340,Fischadler,Pandion+haliaetus
341,Gleitaar,Elanus+caeruleus
342,Bartgeier,Gypaetus+barbatus
343,Schmutzgeier,Neophron+percnopterus
344,Wespenbussard,Pernis+apivorus
345,Weißrückengeier,Gyps+africanus
346,Gänsegeier,Gyps+fulvus
347,Mönchsgeier,Aegypius+monachus
348,Schlangenadler,Circaetus+gallicus
349,Schreiadler,Clanga+pomarina
350,Schelladler,Clanga+clanga
351,Zwergadler,Hieraaetus+pennatus
352,Savannenadler,Aquila+rapax
353,Steppenadler,Aquila+nipalensis
354,Spanischer Kaiseradler,Aquila+adalberti
355,Kaiseradler,Aquila+heliaca
356,Steinadler,Aquila+chrysaetos
357,Habichtsadler,Aquila+fasciata
358,Schikrasperber,Accipiter+badius
359,Kurzfangsperber,Accipiter+brevipes
360,Sperber,Accipiter+nisus
361,Habicht,Accipiter+gentilis
362,Rohrweihe,Circus+aeruginosus
363,Kornweihe,Circus+cyaneus
364,Hudsonweihe,Circus+hudsonius
365,Steppenweihe,Circus+macrourus
366,Wiesenweihe,Circus+pygargus
367,Rotmilan,Milvus+milvus
368,Schwarzmilan,Milvus+migrans
369,Bindenseeadler,Haliaeetus+leucoryphus
370,Seeadler,Haliaeetus+albicilla
371,Weißkopf-Seeadler,Haliaeetus+leucocephalus
372,Raufußbussard,Buteo+lagopus
373,Adlerbussard,Buteo+rufinus
374,Mäusebussard,Buteo+buteo
375,Schleiereule,Tyto+alba
376,Streifen-Zwergohreule,Otus+brucei
377,Zwergohreule,Otus+scops
378,Schneeeule,Bubo+scandiacus
379,Uhu,Bubo+bubo
380,Fischuhu,Ketupa+zeylonensis
381,Waldkauz,Strix+aluco
382,Habichtskauz,Strix+uralensis
383,Bartkauz,Strix+nebulosa
384,Sperbereule,Surnia+ulula
385,Sperlingskauz,Glaucidium+passerinum
386,Steinkauz,Athene+noctua
387,Raufußkauz,Aegolius+funereus
388,Waldohreule,Asio+otus
389,Sumpfohreule,Asio+flammeus
390,Wiedehopf,Upupa+epops
391,Bengalenracke,Coracias+benghalensis
392,Blauracke,Coracias+garrulus
393,Braunliest,Halcyon+smyrnensis
394,Eisvogel,Alcedo+atthis
395,Gürtelfischer,Megaceryle+alcyon
396,Graufischer,Ceryle+rudis
397,Blauwangenspint,Merops+persicus
398,Bienenfresser,Merops+apiaster
399,Wendehals,Jynx+torquilla
400,Gelbbauch-Saftlecker,Sphyrapicus+varius
401,Dreizehenspecht,Picoides+tridactylus
402,Mittelspecht,Dendrocoptes+medius
403,Kleinspecht,Dryobates+minor
404,Blutspecht,Dendrocopos+syriacus
405,Buntspecht,Dendrocopos+major
406,Weißrückenspecht,Dendrocopos+leucotos
407,Schwarzspecht,Dryocopus+martius
408,Grünspecht,Picus+viridis
409,Grauspecht,Picus+canus
410,Rötelfalke,Falco+naumanni
411,Turmfalke,Falco+tinnunculus
412,Buntfalke,Falco+sparverius
413,Rotfußfalke,Falco+vespertinus
414,Amurfalke,Falco+amurensis
415,Eleonorenfalke,Falco+eleonorae
416,Schieferfalke,Falco+concolor
417,Merlin,Falco+columbarius
418,Baumfalke,Falco+subbuteo
419,Lannerfalke,Falco+biarmicus
420,Würgfalke,Falco+cherrug
421,Gerfalke,Falco+rusticolus
422,Wanderfalke,Falco+peregrinus
423,Mönchssittich,Myiopsitta+monachus
424,Alexandersittich,Psittacula+eupatria
425,Halsbandsittich,Psittacula+krameri
426,Weißbauch-Phoebetyrann,Sayornis+phoebe
427,Erlenschnäppertyrann,Empidonax+alnorum
428,Braunwürger,Lanius+cristatus
429,Neuntöter,Lanius+collurio
430,Isabellwürger,Lanius+isabellinus
431,Rotschwanzwürger,Lanius+phoenicuroides
432,Schachwürger,Lanius+schach
433,Schwarzstirnwürger,Lanius+minor
434,Raubwürger,Lanius+excubitor
435,Iberienraubwürger,Lanius+meridionalis
436,Rotkopfwürger,Lanius+senator
437,Maskenwürger,Lanius+nubicus
438,Gelbkehlvireo,Vireo+flavifrons
439,Philadelphiavireo,Vireo+philadelphicus
440,Rotaugenvireo,Vireo+olivaceus
441,Pirol,Oriolus+oriolus
442,Unglückshäher,Perisoreus+infaustus
443,Eichelhäher,Garrulus+glandarius
444,Blauelster,Cyanopica+cooki
445,Elster,Pica+pica
446,Tannenhäher,Nucifraga+caryocatactes
447,Alpenkrähe,Pyrrhocorax+pyrrhocorax
448,Alpendohle,Pyrrhocorax+graculus
449,Dohle,Coloeus+monedula
450,Glanzkrähe,Corvus+splendens
451,Saatkrähe,Corvus+frugilegus
452,Rabenkrähe,Corvus+corone
453,Nebelkrähe,Corvus+cornix
454,Wüstenrabe,Corvus+ruficollis
455,Kolkrabe,Corvus+corax
456,Borstenrabe,Corvus+rhipidurus
457,Seidenschwanz,Bombycilla+garrulus
458,Tannenmeise,Periparus+ater
459,Haubenmeise,Lophophanes+cristatus
460,Balkanmeise,Poecile+lugubris
461,Sumpfmeise,Poecile+palustris
462,Weidenmeise,Poecile+montanus
463,Blaumeise,Cyanistes+caeruleus
464,Lasurmeise,Cyanistes+cyanus
465,Kohlmeise,Parus+major
466,Beutelmeise,Remiz+pendulinus
467,Bartmeise,Panurus+biarmicus
468,Steinlerche,Ammomanes+deserti
469,Sandlerche,Ammomanes+cinctura
470,Heidelerche,Lullula+arborea
471,Weißflügellerche,Alauda+leucoptera
472,Feldlerche,Alauda+arvensis
473,Theklalerche,Galerida+theklae
474,Haubenlerche,Galerida+cristata
475,Ohrenlerche,Eremophila+alpestris
476,Kurzzehenlerche,Calandrella+brachydactyla
477,Bergkalanderlerche,Melanocorypha+bimaculata
478,Kalanderlerche,Melanocorypha+calandra
479,Schwarzsteppenlerche,Melanocorypha+yeltoniensis
480,Stummellerche,Alaudala+rufescens
481,Gelbsteißbülbül,Pycnonotus+xanthopygos
482,Uferschwalbe,Riparia+riparia
483,Rauchschwalbe,Hirundo+rustica
484,Felsenschwalbe,Ptyonoprogne+rupestris
485,Steinschwalbe,Ptyonoprogne+fuligula
486,Mehlschwalbe,Delichon+urbicum
487,Rötelschwalbe,Cecropis+daurica
488,Fahlstirnschwalbe,Petrochelidon+pyrrhonota
489,Seidensänger,Cettia+cetti
490,Schwanzmeise,Aegithalos+caudatus
491,Waldlaubsänger,Phylloscopus+sibilatrix
492,Berglaubsänger,Phylloscopus+bonelli
493,Balkanlaubsänger,Phylloscopus+orientalis
494,Tienschan-Laubsänger,Phylloscopus+humei
495,Gelbbrauen-Laubsänger,Phylloscopus+inornatus
496,Goldhähnchen-Laubsänger,Phylloscopus+proregulus
497,Bartlaubsänger,Phylloscopus+schwarzi
498,Dunkellaubsänger,Phylloscopus+fuscatus
499,Fitis,Phylloscopus+trochilus
500,Bergzilpzalp,Phylloscopus+sindianus
501,Zilpzalp,Phylloscopus+collybita
502,Iberienzilpzalp,Phylloscopus+ibericus
503,Kronenlaubsänger,Phylloscopus+coronatus
504,Grünlaubsänger,Phylloscopus+trochiloides
505,Wanderlaubsänger,Phylloscopus+borealis
506,Drosselrohrsänger,Acrocephalus+arundinaceus
507,Mariskenrohrsänger,Acrocephalus+melanopogon
508,Seggenrohrsänger,Acrocephalus+paludicola
509,Schilfrohrsänger,Acrocephalus+schoenobaenus
510,Feldrohrsänger,Acrocephalus+agricola
511,Buschrohrsänger,Acrocephalus+dumetorum
512,Teichrohrsänger,Acrocephalus+scirpaceus
513,Sumpfrohrsänger,Acrocephalus+palustris
514,Buschspötter,Iduna+caligata
515,Steppenspötter,Iduna+rama
516,Blassspötter,Iduna+pallida
517,Isabellspötter,Iduna+opaca
518,Dornspötter,Hippolais+languida
519,Olivenspötter,Hippolais+olivetorum
520,Orpheusspötter,Hippolais+polyglotta
521,Gelbspötter,Hippolais+icterina
522,Streifenschwirl,Helopsaltes+certhiola
523,Strichelschwirl,Locustella+lanceolata
524,Feldschwirl,Locustella+naevia
525,Schlagschwirl,Locustella+fluviatilis
526,Rohrschwirl,Locustella+luscinioides
527,Zistensänger,Cisticola+juncidis
528,Streifenprinie,Prinia+gracilis
529,Riedelsterhäherling,Argya+altirostris
530,Mönchsgrasmücke,Sylvia+atricapilla
531,Gartengrasmücke,Sylvia+borin
532,Sperbergrasmücke,Sylvia+nisoria
533,Klappergrasmücke,Sylvia+curruca
534,Orpheusgrasmücke,Sylvia+hortensis
535,Nachtigallengrasmücke,Sylvia+crassirostris
536,Wüstengrasmücke,Sylvia+nana
537,Dorngrasmücke,Sylvia+communis
538,Provencegrasmücke,Sylvia+undata
539,Sardengrasmücke,Sylvia+sarda
540,Balearengrasmücke,Sylvia+balearica
541,Brillengrasmücke,Sylvia+conspicillata
542,Weißbart-Grasmücke,Sylvia+cantillans
543,Ligurien-Bartgrasmücke,Sylvia+subalpina
544,Samtkopf-Grasmücke,Sylvia+melanocephala
545,Tamariskengrasmücke,Sylvia+mystacea
546,Maskengrasmücke,Sylvia+ruppeli
547,Schuppengrasmücke,Sylvia+melanothorax
548,Sommergoldhähnchen,Regulus+ignicapilla
549,Wintergoldhähnchen,Regulus+regulus
550,Zaunkönig,Troglodytes+troglodytes
551,Kleiber,Sitta+europaea
552,Türkenkleiber,Sitta+krueperi
553,Felsenkleiber,Sitta+neumayer
554,Klippenkleiber,Sitta+tephronota
555,Mauerläufer,Tichodroma+muraria
556,Waldbaumläufer,Certhia+familiaris
557,Gartenbaumläufer,Certhia+brachydactyla
558,Katzenspottdrossel,Dumetella+carolinensis
559,Spottdrossel,Mimus+polyglottos
560,Rotspottdrossel,Toxostoma+rufum
561,Rosenstar,Pastor+roseus
562,Star,Sturnus+vulgaris
563,Einfarbstar,Sturnus+unicolor
564,Schieferdrossel,Geokichla+sibirica
565,Himalajaerddrossel,Zoothera+dauma
566,Halsbanddrossel,Ixoreus+naevius
567,Weidenmusendrossel,Catharus+fuscescens
568,Grauwangen-Musendrossel,Catharus+minimus
569,Zwergmusendrossel,Catharus+ustulatus
570,Einsiedler-Musendrossel,Catharus+guttatus
571,Ringdrossel,Turdus+torquatus
572,Amsel,Turdus+merula
573,Weißbrauendrossel,Turdus+obscurus
574,Schwarzkehldrossel,Turdus+atrogularis
575,Rostflügeldrossel,Turdus+eunomus
576,Wacholderdrossel,Turdus+pilaris
577,Rotdrossel,Turdus+iliacus
578,Singdrossel,Turdus+philomelos
